key,0,1,2,3,4
#,Background,Frame,Decoration,SortKey,Name
int32,BannerBg,BannerFrame,BannerDecoration,uint16,str
0,"なし","なし","なし",0,"カスタム"
1,"無地：グレー","なし","なし",2,"ベーシック"
2,"四角形","フェード：ホワイト","なし",3,"シンプルモダン"
3,"ヴォイド空間","アンティーク","なし",4,"古典的な肖像画"
4,"羊皮紙","アンティーク","なし",5,"印象的な肖像画"
5,"無地：パープル","隅飾り","キラキラ",6,"ゴージャス"
6,"エーテル空間","なし","なし",1,"エーテル空間"
7,"羊皮紙","ジャーナル","なし",7,"クエストジャーナル"
8,"グラデーション：TANK","シンプルフレーム：ソリッド","TANK",8,"ロール：TANK"
9,"グラデーション：HEALER","シンプルフレーム：ソリッド","HEALER",9,"ロール：HEALER"
10,"グラデーション：DPS","シンプルフレーム：ソリッド","DPS",10,"ロール：DPS"
11,"ナイト（シンプル）","ナイト","ナイト",2050,"ナイト（シンプル）"
12,"戦士（シンプル）","戦士","戦士",2051,"戦士（シンプル）"
13,"暗黒騎士（シンプル）","暗黒騎士","暗黒騎士",2052,"暗黒騎士（シンプル）"
14,"ガンブレイカー（シンプル）","ガンブレイカー","ガンブレイカー",2053,"ガンブレイカー（シンプル）"
15,"白魔道士（シンプル）","白魔道士","白魔道士",2054,"白魔道士（シンプル）"
16,"学者（シンプル）","学者","学者",2055,"学者（シンプル）"
17,"占星術師（シンプル）","占星術師","占星術師",2056,"占星術師（シンプル）"
18,"賢者（シンプル）","賢者","賢者",2057,"賢者（シンプル）"
19,"モンク（シンプル）","モンク","モンク",2058,"モンク（シンプル）"
20,"竜騎士（シンプル）","竜騎士","竜騎士",2059,"竜騎士（シンプル）"
21,"忍者（シンプル）","忍者","忍者",2060,"忍者（シンプル）"
22,"侍（シンプル）","侍","侍",2061,"侍（シンプル）"
23,"リーパー（シンプル）","リーパー","リーパー",2062,"リーパー（シンプル）"
24,"吟遊詩人（シンプル）","吟遊詩人","吟遊詩人",2064,"吟遊詩人（シンプル）"
25,"機工士（シンプル）","機工士","機工士",2065,"機工士（シンプル）"
26,"踊り子（シンプル）","踊り子","踊り子",2066,"踊り子（シンプル）"
27,"黒魔道士（シンプル）","黒魔道士","黒魔道士",2067,"黒魔道士（シンプル）"
28,"召喚士（シンプル）","召喚士","召喚士",2068,"召喚士（シンプル）"
29,"赤魔道士（シンプル）","赤魔道士","赤魔道士",2069,"赤魔道士（シンプル）"
30,"ナイト（ダイナミック）","ナイト","ナイト",2150,"ナイト（ダイナミック）"
31,"戦士（ダイナミック）","戦士","戦士",2151,"戦士（ダイナミック）"
32,"暗黒騎士（ダイナミック）","暗黒騎士","暗黒騎士",2152,"暗黒騎士（ダイナミック）"
33,"ガンブレイカー（ダイナミック）","ガンブレイカー","ガンブレイカー",2153,"ガンブレイカー（ダイナミック）"
34,"白魔道士（ダイナミック）","白魔道士","白魔道士",2154,"白魔道士（ダイナミック）"
35,"学者（ダイナミック）","学者","学者",2155,"学者（ダイナミック）"
36,"占星術師（ダイナミック）","占星術師","占星術師",2156,"占星術師（ダイナミック）"
37,"賢者（ダイナミック）","賢者","賢者",2157,"賢者（ダイナミック）"
38,"モンク（ダイナミック）","モンク","モンク",2158,"モンク（ダイナミック）"
39,"竜騎士（ダイナミック）","竜騎士","竜騎士",2159,"竜騎士（ダイナミック）"
40,"忍者（ダイナミック）","忍者","忍者",2160,"忍者（ダイナミック）"
41,"侍（ダイナミック）","侍","侍",2161,"侍（ダイナミック）"
42,"リーパー（ダイナミック）","リーパー","リーパー",2162,"リーパー（ダイナミック）"
43,"吟遊詩人（ダイナミック）","吟遊詩人","吟遊詩人",2164,"吟遊詩人（ダイナミック）"
44,"機工士（ダイナミック）","機工士","機工士",2165,"機工士（ダイナミック）"
45,"踊り子（ダイナミック）","踊り子","踊り子",2166,"踊り子（ダイナミック）"
46,"黒魔道士（ダイナミック）","黒魔道士","黒魔道士",2167,"黒魔道士（ダイナミック）"
47,"召喚士（ダイナミック）","召喚士","召喚士",2168,"召喚士（ダイナミック）"
48,"赤魔道士（ダイナミック）","赤魔道士","赤魔道士",2169,"赤魔道士（ダイナミック）"
49,"チーム・アストラ","チーム・アストラ","チーム・アストラ",3000,"チーム・アストラ"
50,"チーム・アンブラ","チーム・アンブラ","チーム・アンブラ",3001,"チーム・アンブラ"
51,"コンパニオン特典1","コンパニオン特典1","コンパニオン特典1",4000,"コンパニオン特典1"
52,"コンパニオン特典2","コンパニオン特典2","コンパニオン特典2",4001,"コンパニオン特典2"
53,"絶バハムート討滅戦","絶バハムート討滅戦","絶バハムート討滅戦",2500,"絶バハムート討滅戦"
54,"絶アルテマウェポン破壊作戦","絶アルテマウェポン破壊作戦","絶アルテマウェポン破壊作戦",2501,"絶アルテマウェポン破壊作戦"
55,"絶アレキサンダー討滅戦","絶アレキサンダー討滅戦","絶アレキサンダー討滅戦",2502,"絶アレキサンダー討滅戦"
56,"絶竜詩戦争","絶竜詩戦争","絶竜詩戦争",2503,"絶竜詩戦争"
57,"クリスタルコンフリクト：王者S1","クリスタルコンフリクト：王者S1","クリスタルコンフリクト：王者S1",3200,"クリスタルコンフリクト：王者S1"
58,"クリスタルコンフリクト：勇者S1","クリスタルコンフリクト：勇者S1","クリスタルコンフリクト：勇者S1",3201,"クリスタルコンフリクト：勇者S1"
59,"クリスタルコンフリクト：入賞者S1","クリスタルコンフリクト：入賞者S1","クリスタルコンフリクト：入賞者S1",3202,"クリスタルコンフリクト：入賞者S1"
60,"クリスタルコンフリクト：ブロンズS1","クリスタルコンフリクト：ブロンズS1","クリスタルコンフリクト：ブロンズS1",3208,"クリスタルコンフリクト：ブロンズS1"
61,"クリスタルコンフリクト：シルバーS1","クリスタルコンフリクト：シルバーS1","クリスタルコンフリクト：シルバーS1",3207,"クリスタルコンフリクト：シルバーS1"
62,"クリスタルコンフリクト：ゴールドS1","クリスタルコンフリクト：ゴールドS1","クリスタルコンフリクト：ゴールドS1",3206,"クリスタルコンフリクト：ゴールドS1"
63,"クリスタルコンフリクト：プラチナS1","クリスタルコンフリクト：プラチナS1","クリスタルコンフリクト：プラチナS1",3205,"クリスタルコンフリクト：プラチナS1"
64,"クリスタルコンフリクト：ダイヤモンドS1","クリスタルコンフリクト：ダイヤモンドS1","クリスタルコンフリクト：ダイヤモンドS1",3204,"クリスタルコンフリクト：ダイヤモンドS1"
