key,0,1,2,3,4,5
#,,,,,,
int32,str,byte,uint32,uint32,uint16,uint16
0,"コスモミッションを1回達成しよう",1,1,0,50,0
1,"コスモミッションを3種類達成しよう",1,3,0,75,1
2,"コスモミッションでゴールドグレードを1回獲得しよう",1,1,0,75,2
3,"緊急ミッションを1回達成しよう",1,1,0,50,3
4,"メカオペレーションを1回達成しよう",1,1,0,100,4
5,"コスモフォーチュンを1回引こう",1,1,0,50,5
6,"月面のコスモミッションを10回達成する",2,10,1,300,6
7,"月面のコスモミッションを50回達成する",2,50,1,450,7
8,"月面のコスモミッションを100回達成する",2,100,1,900,8
9,"月面のコスモミッションを500回達成する",2,500,1,1500,9
10,"月面のコスモミッションを10種類達成する",2,10,1,300,10
11,"月面のコスモミッションを50種類達成する",2,50,1,900,11
12,"月面のコスモミッションを100種類達成する",2,100,1,2400,12
13,"月面の10種類のコスモミッションでゴールドグレードを獲得する",2,10,1,300,13
14,"月面の50種類のコスモミッションでゴールドグレードを獲得する",2,50,1,900,14
15,"月面の100種類のコスモミッションでゴールドグレードを獲得する",2,100,1,2400,15
16,"月面の緊急ミッションを1回達成する",2,1,2,500,16
17,"月面の緊急ミッションを10回達成する",2,10,2,1000,17
18,"月面の緊急ミッションを30回達成する",2,30,2,3000,18
19,"パイロットとして月面のメカオペレーションに参加し、1回達成する",2,1,1,1500,22
20,"パイロットとして月面のメカオペレーションに参加し、5回達成する",2,5,1,3000,23
21,"パイロットとして月面のメカオペレーションに参加し、10回達成する",2,10,1,4500,24
22,"サポーターとして月面のメカオペレーションに参加し、5回達成する",2,5,1,300,25
23,"サポーターとして月面のメカオペレーションに参加し、20回達成する",2,20,1,900,26
24,"サポーターとして月面のメカオペレーションに参加し、50回達成する",2,50,1,2100,27
25,"月面にて、木工師のDクラス・ミッションを3種類達成する",2,3,3,50,28
26,"月面にて、木工師のCクラス・ミッションを4種類達成する",2,4,3,100,29
27,"月面にて、木工師の3種類のBクラス・ミッションで
ゴールドグレードを獲得する",2,3,3,200,30
28,"月面にて、鍛冶師のDクラス・ミッションを3種類達成する",2,3,7,50,31
29,"月面にて、鍛冶師のCクラス・ミッションを4種類達成する",2,4,7,100,32
30,"月面にて、鍛冶師の3種類のBクラス・ミッションで
ゴールドグレードを獲得する",2,3,7,200,33
31,"月面にて、甲冑師のDクラス・ミッションを3種類達成する",2,3,11,50,34
32,"月面にて、甲冑師のCクラス・ミッションを4種類達成する",2,4,11,100,35
33,"月面にて、甲冑師の3種類のBクラス・ミッションで
ゴールドグレードを獲得する",2,3,11,200,36
